24;'1';'Treatment Infrastructure';;'yOCvnVyTpf9';1
25;'2';'RDT Infrastructure';;'h2SBnaWRS81';2
26;'5';'Adherence';;'ICGbNO0nXHj';3
27;'5.1';'Pharmacy/Clinical Register to Lab Result';26;'YNCz7Sr0KaP';4
28;'5.2';'Positive Test Result';26;'sUUe4XCUgEp';5
29;'5.3';'Negative Test Result';26;'BJ1ouzPCXQm';6
30;'8';'Pharmacy Assessment';;'fco8L3tJkLm';7
31;'9';'Pharmacy Observations Overall';;'BPm9Pp1wxSp';8
32;'9.1';'Pharmacy Observation 1';31;'fdPQLbe5RBL';9
33;'9.2';'Pharmacy Observation 2';31;'SyKEw8ztjUd';10
34;'9.3';'Pharmacy Observation 3';31;'ShVAZE5juvq';11
35;'6';'Clinical Observation Overall';;'HJpyzEI5SHF';12
36;'6.1';'Clinical Observation 1';35;'GiwbnhZN2ht';13
37;'6.2';'Clinical Observation 2';35;'rIxttokOMYW';14
38;'6.3';'Clinical Observation 3';35;'D67xaaudmlq';15
39;'7';'RDT Observation Overall';;'NZyL75FPmWd';16
40;'7.1';'RDT Observation 1';39;'m5kcAIB6h69';17
41;'7.2';'RDT Observation 2';39;'lcFAObcQYi9';18
42;'7.3';'RDT Observation 3';39;'UYudtqmJTDb';19
43;'10';'Data Management Assessment';;'DRuFljTOBRQ';20
