1;'Objectives';1;1;0
2;'General OTSS';2;1;0
3;'Consulting Room Observation 1';4;4;0
4;'Consulting Room Observation 2';5;4;0
5;'Consulting Room Observation 3';6;4;0
6;'RDT Observation 1';7;5;0
7;'RDT Observation 2';8;5;0
8;'RDT Observation 3';9;5;0
12;'Composite Scores';13;1;2
13;'Composite Scores';14;4;2
14;'Composite Scores';15;5;2
16;'Adherence';4;1;6
17;'General OTSS Feedback and Action Plan';3;1;0
18;'Pharmacy Assessment';1;3;0
19;'Pharmacy Observation';2;3;0
20;'Pharmacy Feedback and Action Plan';3;3;0
21;'Composite Scores';4;3;2
22;'Consulting Room Feedback and Action Plan';7;4;0
24;'RDT Feedback and Action Plan';10;5;0
27;'Data Management';1;6;0
28;'Data Management Feedback and Action Plan';2;6;0
29;'Composite Scores';3;6;2
