1;'1';'Treatment Infrastructure';;'YNubduNFZmp';0
2;'2';'RDT Infrastructure';;'aD3wr0QqSax';1
4;'5.1';'Pharmacy/Clinical Register to Lab Result';;'TdqWqtokqYp';3
5;'5.2';'Positive Test Result';;'BfQOEysuExn';4
6;'5.3';'Negative Test Result';;'cMYdY9zGBxf';5
7;'6';'Clinical Observation Overall';;'N2gzHWozJ4H';6
8;'6.1';'Clinical Observation 1';7;'BoFeWB668ON';7
9;'6.2';'Clinical Observation 2';7;'s9Nnr6eFntw';8
10;'6.3';'Clinical Observation 3';7;'TYC8zjqM9Y1';9
11;'9';'Patient Diagnosis & Management';;'zSp8hzt2Mwk';10
12;'10';'Patient Monitoring Review';;'biRUvaAhx3i';11
13;'10.1';'Patient Monitoring Review 1';12;'VhkjeRy1eLa';12
14;'10.2';'Patient Monitoring Review 2';12;'PLP1MVhqvFq';13
15;'10.3';'Patient Monitoring Review 3';12;'syXCXYeAkjC';14
16;'11';'Administration of Injectable Artesunate';;'pO6SMLNMQfJ';15
17;'7';'RDT Observation';;'i5dm4eD7HeR';16
18;'7.1';'RDT Observation 1';17;'Jlgf9XetgSq';17
19;'7.2';'RDT Observation 2';17;'RQ9oWnv8sZb';18
20;'7.3';'RDT Observation 3';17;'nSfVssb5wl9';19
21;'3';'Microscopy Readiness';;'ZHFgv2uDJlB';20
22;'4';'Slide-Rechecking';;'MgQarODFdA1';21
23;'4.1';'Positive/Negative Test Result';22;'xlSkA1uo6zA';22
24;'8';'Microscopy Observation';;'yrP6HXSnKhs';23
25;'8.1';'Slide Preparation';24;'kXqNl5O4MH4';24
26;'8.1.1';'Slide Preparation: Observation 1';25;'XBbMQDvJ2cB';25
27;'8.1.2';'Slide Preparation: Observation 2';25;'UHOOCrcnGIt';26
28;'8.1.3';'Slide Preparation: Observation 3';25;'EXhzj1A8abK';27
29;'8.2';'Slide Staining';24;'IhGzMvRmYtM';28
30;'8.2.1';'Slide Staining: Observation 1';29;'D9TdjKte1to';29
31;'8.2.2';'Slide Staining: Observation 2';29;'iSzCAI3q1qH';30
32;'8.2.3';'Slide Staining: Observation 3';29;'TOSf1tQoCom';31
33;'8.3';'Slide Reading';24;'KwFj8OgKOC0';32
34;'8.3.1';'Slide Reading: Observation 1';33;'udaPHqekHc4';33
35;'8.3.2';'Slide Reading: Observation 2';33;'owoTN9wOIyT';34
36;'8.3.3';'Slide Reading: Observation 3';33;'qTpxaUpXsCY';35
