17;'General OTSS';1;1;0
18;'General OTSS Feedback and Action Plan';2;1;0
19;'Adherence';3;1;6
20;'Composite Scores';4;1;2
21;'CCM, Observation 1';1;2;0
22;'CCM, Observation 2';2;2;0
23;'CCM, Observation 3';3;2;0
24;'Clinical Observations Feedback and Action Plan';4;2;0
25;'Composite Scores';5;2;2
26;'Patient Diagnosis & Management';1;3;0
27;'Patient Monitoring Review';2;3;0
28;'Administration of Injectable Artesunate';3;3;0
29;'Severe Malaria Feedback and Action Plan';4;3;0
30;'Composite Scores';5;3;2
31;'Preparing and Reading RDTs';0;4;0
32;'RDT Observations Feedback and Action Plan';1;4;0
33;'Composite Scores';2;4;2
34;'Microscopy Facility Assessment';1;5;0
35;'Preparation of Films';2;5;0
36;'Staining of Films';3;5;0
37;'Reading of Films';4;5;0
38;'Slide Rechecking';5;5;7
39;'Lab Feedback and Action Plan';6;5;0
40;'Composite Scores';7;5;2
