1;'TZ_MAL.QA-Gen OTSS-100';'TZ_MAL.QA-Gen OTSS-HF Info-Hours of Operation - Weekdays-100';;'Times of operation - Weekdays';'px8OMBYTOwQ';100;0.00;0.00;1;49;;
2;'TZ_MAL.QA-Gen OTSS-110';'TZ_MAL.QA-Gen OTSS-HF Info-Open-110';;'Start time';'SC0Kg7JRw25';110;0.00;0.00;1;26;;
3;'TZ_MAL.QA-Gen OTSS-120';'TZ_MAL.QA-Gen OTSS-HF Info-Close-120';;'End time';'RsGiw0KgaEI';120;0.00;0.00;1;26;;
4;'TZ_MAL.QA-Gen OTSS-130';'TZ_MAL.QA-Gen OTSS-HF Info-Hours of Operation - Weekend-130';;'Times of Operation - Weekend';'JrR62VaVtfh';130;0.00;0.00;1;49;;
5;'TZ_MAL.QA-Gen OTSS-140';'TZ_MAL.QA-Gen OTSS-HF Info-Open-140';;'Start time';'SJh1RhpJNJV';140;0.00;0.00;1;26;;
6;'TZ_MAL.QA-Gen OTSS-150';'TZ_MAL.QA-Gen OTSS-HF Info-Close-150';;'End time';'KF7wgPFEMlU';150;0.00;0.00;1;26;;
7;'TZ_MAL.QA-Gen OTSS-160';'TZ_MAL.QA-Gen OTSS-HF Info-Supervisor Name-160';;'Supervisor Name';'eqB5WyZWuFN';160;0.00;0.00;1;26;;
8;'TZ_MAL.QA-Gen OTSS-170';'TZ_MAL.QA-Gen OTSS-HR_T-HUMAN RESOURCES - OPD STAFF-170';;'HUMAN RESOURCES - FACILITY STAFF';'wPtwoKslPEA';170;0.00;0.00;2;49;;
9;'TZ_MAL.QA-Gen OTSS-180';'TZ_MAL.QA-Gen OTSS-HR_T-Note number of full- or part-time employees (record 0 if staff is never present)-180';;'Note number of full- or part-time employees (record 0 if staff is never present)';'snLzL1fVXBq';180;0.00;0.00;2;49;;
10;'TZ_MAL.QA-Gen OTSS-190';'TZ_MAL.QA-Gen OTSS-HR_T-MD/Physician/Medical Officer-190';;'Medical Officer';'LW1N6haTNDQ';190;0.00;0.00;2;24;;
11;'TZ_MAL.QA-Gen OTSS-200';'TZ_MAL.QA-Gen OTSS-HR_T-Clinical Officer/Medical Licentiate-200';;'Assistant Medical Officer';'gTS0EWeHhhE';200;0.00;0.00;2;24;;
12;'TZ_MAL.QA-Gen OTSS-210';'TZ_MAL.QA-Gen OTSS-HR_T-Nurse-210';;'Clinical Officer';'uPrQFfVNjvg';210;0.00;0.00;2;24;;
13;'TZ_MAL.QA-Gen OTSS-220';'TZ_MAL.QA-Gen OTSS-HR_T-Midwife-220';;'Assistant Clinical Officer';'OOVRCgO25Bm';220;0.00;0.00;2;24;;
14;'TZ_MAL.QA-Gen OTSS-230';'TZ_MAL.QA-Gen OTSS-HR_T-Student/Intern-230';;'Nurse Officer';'BC0rcDrY6Wx';230;0.00;0.00;2;24;;
15;'TZ_MAL.QA-Gen OTSS-240';'TZ_MAL.QA-Gen OTSS-HR_T-Total clinicians at health facility today-240';;'Total clinicians at health facility today';'expWfrMZq0z';240;0.00;0.00;2;24;;
16;'TZ_MAL.QA-Gen OTSS-250';'TZ_MAL.QA-Gen OTSS-HR_T-TRAINING OVERVIEW - OPD STAFF-250';;'TRAINING OVERVIEW - FACILITY STAFF';'tHlq7fZOylf';250;0.00;0.00;2;49;;
17;'TZ_MAL.QA-Gen OTSS-260';'TZ_MAL.QA-Gen OTSS-HR_T-Are there OPD staff formally trained in RDTs in the last two years?-260';;'Are there OPD staff formally trained in mRDTs in the last two years?';'N3Wmdx9b5qx';260;10.00;10.00;2;53;;2
18;'TZ_MAL.QA-Gen OTSS-270';'TZ_MAL.QA-Gen OTSS-HR_T-Number of clinical staff trained on RDTs in last 2 years-270';;'Number of clinical staff trained on mRDTs in last 2 years';'sp9EjuDpIqo';270;0.00;0.00;2;24;17;
19;'TZ_MAL.QA-Gen OTSS-280';'TZ_MAL.QA-Gen OTSS-HR_T-Name of organization that conducted RDT training-280';;'Name of organization that conducted mRDT training';'dJBvq33ybIY';280;0.00;0.00;2;26;17;
