1;'1';'Treatment Readiness';;'aSCal7Ftgzp';1
2;'2';'RDT Readiness';;'cNe4i2DIkkn';2
3;'3';'Microscopy Readiness';;'gcC2cWYtBHl';3
4;'4';'Slide-Rechecking';;'VyCoAWHIVXz';4
5;'4.1';'Positive/Negative Test Result';4;'zs9c8wvan7P';5
7;'5';'Adherence';;'tyno3EjsJTP';7
8;'5.1';'Pharmacy/Clinical Register to Lab Result';7;'rE9R3H8WKZ7';8
9;'5.2';'Lab Result to Pharmacy/Clinical Register';7;'HwK0rqPpOWt';9
10;'5.2.1';'Positive Test Result';9;'HtRXeJDfWwG';10
11;'5.2.2';'Negative Test Result';9;'ORgZFxgNSeb';11
12;'6';'Clinical Observation Overall';;'UIhMsAkUsDn';12
13;'6.1';'Clinical Observation 1';12;'tFQ6kFYbB4j';13
14;'6.1.1';'Clinical Observation 1:  Case In-take';13;'VQTruMhhgZz';14
15;'6.1.2';'Clinical Observation 1: Final Diagnosis & Treatment';13;'i44OQEsFWvx';15
16;'6.2';'Clinical Observation 2';12;'z90UsTsBo74';16
17;'6.2.1';'Clinical Observation 2:  Case In-take';16;'B8NfUnFyW4D';17
18;'6.2.2';'Clinical Observation 2: Final Diagnosis & Treatment';16;'DcwD6Nigdxo';18
19;'6.3';'Clinical Observation 3';12;'XWaZIlPjvxc';19
20;'6.3.1';'Clinical Observation 3:  Case In-take';19;'GgTSHFzIDPJ';20
21;'6.3.2';'Clinical Observation 3: Final Diagnosis & Treatment';19;'NE1WfGu7F09';21
22;'7';'RDT Observation';;'kyQSrI85yFE';22
23;'7.1';'RDT Observation 1';22;'ndXnWTpSCC0';23
24;'7.2';'RDT Observation 2';22;'VJewfCV3P2m';24
25;'7.3';'RDT Observation 3';22;'KtZbeh1bzI3';25
26;'8';'Microscopy Observation';;'qndMJwFPydn';26
27;'8.1';'Slide Preparation';26;'p1rg7Tk5HYW';27
28;'8.1.1';'Slide Preparation: Observation 1';27;'IfI6vCONqUk';28
29;'8.1.2';'Slide Preparation: Observation 2';27;'xC4t1z2XNJ7';29
30;'8.1.3';'Slide Preparation: Observation 3';27;'jgQmz8UbkUz';30
31;'8.2';'Slide Staining';26;'CniWLU0pbaa';31
32;'8.2.1';'Slide Staining: Observation 1';31;'NaLbjlJ2H4e';32
33;'8.2.2';'Slide Staining: Observation 2';31;'BKXk0iKDhJf';33
34;'8.2.3';'Slide Staining: Observation 3';31;'FRC6RYh6yQh';34
35;'8.3';'Slide Reading';26;'EObHjTCGtys';35
36;'8.3.1';'Slide Reading: Observation 1';35;'A6DTtE8O78h';36
37;'8.3.2';'Slide Reading: Observation 2';35;'kalQBCGa5Eh';37
38;'8.3.3';'Slide Reading: Observation 3';35;'s735xZ6iQcj';38
