7;'ZMB-Gen OTSS-160';'ZMB-Gen OTSS-HF Info-160-Supervisor Name';'ZMB-Gen OTSS-HF Info-160-Supervisor Name';'Supervisor Name';'GUIyz7L8PBu';160;0.00;0.00;1;13;;
8;'ZMB-Gen OTSS-170';'ZMB-Gen OTSS-HR_T-170-HUMAN RESOURCES - OPD STAFF';'ZMB-Gen OTSS-HR_T-170-HUMAN RESOURCES - OPD STAFF';'HUMAN RESOURCES - OPD STAFF';'alm0iMr9bZy';170;0.00;0.00;2;8;;
9;'ZMB-Gen OTSS-180';'ZMB-Gen OTSS-HR_T-180-Note number of full- or part-time employees (record 0 if staff is never present)';'ZMB-Gen OTSS-HR_T-180-Note number of full- or part';'Note number of full- or part-time employees (record 0 if staff is never present)';'lgUcGiHEypO';180;0.00;0.00;2;8;;
10;'ZMB-Gen OTSS-190';'ZMB-Gen OTSS-HR_T-190-MD/Physician/Medical Officer';'ZMB-Gen OTSS-HR_T-190-MD/Physician/Medical Officer';'MD/Physician/Medical Officer';'NYaeHquwzwT';190;0.00;0.00;2;10;;
11;'ZMB-Gen OTSS-200';'ZMB-Gen OTSS-HR_T-200-Clinical Officer/Physician’s Assistant';'ZMB-Gen OTSS-HR_T-200-Clinical Officer/Physician’s';'Clinical Officer/Physician’s Assistant';'ZIDIGxB3iQ9';200;0.00;0.00;2;10;;
12;'ZMB-Gen OTSS-210';'ZMB-Gen OTSS-HR_T-210-Nurse';'ZMB-Gen OTSS-HR_T-210-Nurse';'Nurse';'GtzlNUonZRF';210;0.00;0.00;2;10;;
13;'ZMB-Gen OTSS-220';'ZMB-Gen OTSS-HR_T-220-Midwife';'ZMB-Gen OTSS-HR_T-220-Midwife';'Midwife';'kutwIZx2R0e';220;0.00;0.00;2;10;;
14;'ZMB-Gen OTSS-230';'ZMB-Gen OTSS-HR_T-230-Student/Intern';'ZMB-Gen OTSS-HR_T-230-Student/Intern';'Student/Intern';'dVVSimBuDqy';230;0.00;0.00;2;10;;
15;'ZMB-Gen OTSS-240';'ZMB-Gen OTSS-HR_T-240-Total clinicians at health facility today';'ZMB-Gen OTSS-HR_T-240-Total clinicians at health f';'Total clinicians at health facility today';'nEYkUZOayJD';240;0.00;0.00;2;10;;
16;'ZMB-Gen OTSS-250';'ZMB-Gen OTSS-HR_T-250-TRAINING OVERVIEW - OPD STAFF';'ZMB-Gen OTSS-HR_T-250-TRAINING OVERVIEW - OPD STAF';'TRAINING OVERVIEW - OPD STAFF';'Dta8T2BzXay';250;0.00;0.00;2;8;;
17;'ZMB-Gen OTSS-260';'ZMB-Gen OTSS-HR_T-260-Are there OPD staff who have been formally trained in RDTs in the last two years?';'ZMB-Gen OTSS-HR_T-260-Are there OPD staff who have';'Are there OPD staff who have been formally trained in RDTs in the last two years?';'i2VI8k3oGm2';260;10.00;10.00;2;85;;2
18;'ZMB-Gen OTSS-270';'ZMB-Gen OTSS-HR_T-270-If yes, how many?';'ZMB-Gen OTSS-HR_T-270-If yes, how many?';'If yes, how many?';'tAS5UQnJIjx';270;0.00;0.00;2;10;17;
20;'ZMB-Gen OTSS-290';'ZMB-Gen OTSS-HR_T-290-Are there any OPD staff who have been formally trained in malaria case management in the last two years ?';'ZMB-Gen OTSS-HR_T-290-Are there any OPD staff who';'Are there any OPD staff who have been formally trained in malaria case management in the last two years ?';'wCr5x9JTzZt';290;10.00;10.00;2;85;;1
21;'ZMB-Gen OTSS-300';'ZMB-Gen OTSS-HR_T-300-If yes, how many?';'ZMB-Gen OTSS-HR_T-300-If yes, how many?';'If yes, how many?';'rPG231P47eV';300;0.00;0.00;2;10;20;
40;'ZMB-Gen OTSS-490';'ZMB-Gen OTSS-HF Infra-490-MALARIA REFERENCE MATERIAL';'ZMB-Gen OTSS-HF Infra-490-MALARIA REFERENCE MATERI';'MALARIA REFERENCE MATERIAL';'Y6CXMrabyYx';490;0.00;0.00;3;8;;
41;'ZMB-Gen OTSS-500';'ZMB-Gen OTSS-HF Infra-500-Are the following malaria reference materials available? 
(Only tick ''Yes'' if you can verify that the following are physically available)';'ZMB-Gen OTSS-HF Infra-500-Are the following malari';'Are the following malaria reference materials available? 
(Only tick ''Yes'' if you can verify that the following are physically available)';'mGQUYEViq26';500;0.00;0.00;3;8;;
42;'ZMB-Gen OTSS-510';'ZMB-Gen OTSS-HF Infra-510-MOH guidelines for case management (diagnosis and treatment) present in the facility';'ZMB-Gen OTSS-HF Infra-510-MOH guidelines for case';'MOH guidelines for case management (diagnosis and treatment) present in the facility';'NyWo3Hz7UNq';510;1.00;1.00;3;85;;1
