68;'0';'Health Facility ICM QA score';;'jcKOyugwTMu';
1;'1';'ICM';68;'ienDAgkgeZw';
2;'1.1';'Inquiry';1;'w2L7ztygH2x';
3;'1.2';'Physical Examination';1;'wYD9nNnj4Iv';
4;'1.3';'Diagnosis, Treatment and Counseling, obs 1';1;'PpwNZ6Nm5mO';
5;'1.4';'Diagnosis, Treatment and Counseling, obs 2';1;'lhymcfXxSya';
6;'1.5';'Diagnosis, Treatment and Counseling, obs 3';1;'ZYeRLFnokBg';
7;'2';'RDT Procedure';68;'ibjI4Iy7pHS';
8;'3';'Work Environment';68;'aib5SagwZCJ';
9;'3.1';'Workplace';8;'PGAbwPDRHIW';
10;'3.2';'Equipment, Supplies and Consumables';8;'H8nqJR2uJtA';
11;'3.3';'Document and Reporting';8;'TXUdppgATOB';
12;'0';'Health Facility SF QA score';;'finiGBSVCtv';
13;'1';'FP all methods';12;'RuUIJyDesql';
14;'1.1';'FP all methods-Contraceptive Counseling';13;'TOP2Rcgn2gr';
15;'1.2';'FP all methods-Oral Contraceptive Pills';13;'eJy2qppPuej';
16;'1.3';'FP all methods-Injectables';13;'DIuLrrfV2i5';
17;'1.4';'FP all methods-IUCD Insertion';13;'SkPfkGPtbwZ';
18;'1.5';'FP all methods-IUCD Removal';13;'dL47MwkJSis';
19;'1.6';'FP all methods-Implant Insertion';13;'JTtvywhC3Bl';
20;'1.7';'FP all methods-Implant Removal';13;'Dq0uxi8mm9t';
21;'2';'IMCI';12;'BfS7QHQ8Px0';
22;'2.1';'IMCI-Introduction';21;'ZIWYsWM3f1f';
23;'2.2';'IMCI-Inquiry';21;'w1DBtWy11kY';
24;'2.3';'IMCI-Physical Examination';21;'WhA2WTWxRD5';
25;'2.4';'IMCI-Diagnosis 1';21;'MIOqIUkcQPk';
26;'2.5';'IMCI-Diagnosis 2';21;'CEcFAgxL1F0';
27;'2.6';'IMCI-Diagnosis 3';21;'Q8Jh0FRShKV';
28;'3';'RDT Procedure';12;'jdjJgzKJot4';
29;'3.1';'RDT Procedure-RDT Procedure';28;'HhWCDj5Ws7r';
30;'4';'Focused Antenatal Care';12;'S3QQdRoto6O';
31;'4.1';'Focused Antenatal Care-Introduction';30;'OXw5pHPzSax';
32;'4.2';'Focused Antenatal Care-Ask or Check';30;'S9r68x9aUGa';
33;'4.3';'Focused Antenatal Care-Care';30;'MQm1u8hj6RT';
34;'4.4';'Focused Antenatal Care-Client education and counseling';30;'bqoZKvOAojb';
35;'5';'Post Partum IUD';12;'uTEzbYLI7F1';
36;'5.1';'Post Partum IUD-Pre-Insertion (Clinical)';35;'mCRhiRjGoah';
37;'5.2';'Post Partum IUD-Insertion';35;'EJRDVyhTUjm';
38;'5.3';'Post Partum IUD-Post-insertion';35;'ZGaFaiKqFB6';
39;'5.4';'Post Partum IUD-Procedure/Follow-up';35;'r4T6irFf7CL';
40;'6';'Management of Pre-Eclampsia/Eclampsia';12;'jV3xXJroJek';
41;'6.1';'Management of Pre-Eclampsia/Eclampsia-Pregnancy and delivery complications';40;'KDph2EHrvrV';
42;'7';'Management of Post Partum Haemorrhage';12;'GZZuXwxKhYI';
43;'7.1';'Management of Post Partum Haemorrhage-Management of Post Partum Haemorrhage';42;'Zh4RX4S7lGn';
44;'8';'Labour and Delivery';12;'hCyJiF8SoWV';
45;'8.1';'Labour and Delivery-Pre-delivery';44;'TmwSwK0pwQX';
46;'8.2';'Labour and Delivery-Delivery';44;'xphrkXu0AYp';
47;'8.3';'Labour and Delivery-Immediate Post-delivery';44;'JWO42Yvqqjh';
48;'9';'Cervical Cancer';12;'zGRy1F3DzCX';
49;'9.1';'Cervical Cancer-Pre-Screening';48;'QUE0RFe7qcU';
50;'9.2';'Cervical Cancer-Patient screening';48;'bVRVFzXmZie';
51;'9.3';'Cervical Cancer-Pre-Cryotherapy Counselling';48;'Dh8FhfZ6mmn';
52;'9.4';'Cervical Cancer-Cryotherapy';48;'wu4yiGgpld4';
53;'9.5';'Cervical Cancer-Post Cryotherapy Procedures';48;'pFjFpiOi66A';
54;'10';'Tuberculosis';12;'GvPqglk4Hl6';
55;'10.1';'Tuberculosis-Inquiry';54;'Uwqieo3XApy';
56;'10.2';'Tuberculosis-Examination';54;'ESAtgNHLqhk';
57;'10.3';'Tuberculosis-Treatment';54;'zAtzwkc0LTm';
58;'10.4';'Tuberculosis-Counseling';54;'jRAsEJJZEts';
59;'11';'Newborn Resuscitation';12;'KIoD1gTDnF0';
60;'11.1';'Newborn Resuscitation-Newborn Resuscitation';59;'yFAEJGNv2OP';
61;'12';'HIV';12;'zCvUuqy9ZhB';
62;'12.1';'HIV-HIV Testing and Counseling';61;'KcsGslnz8OD';
63;'12.2';'HIV-HIV Care and Treatment';61;'HGJXO1ayEh1';
64;'13';'Hypertension';12;'eIEn5IHjvCV';
65;'13.1';'Hypertension-HTN screening , classification and staging';64;'eCGKkhWIqeM';
66;'13.2';'Hypertension-History taking and assessment';64;'GWsNEh6bxOw';
67;'13.3';'Hypertension-Diagnosis and Management as per protocol';64;'S2taYs3YCum';
