69;'0';'Note de l''assurance qualité de la prise en charge intégrée des cas de l''établissement';;'wfBvs7RECXA';0
1;'1';'Prise en charge intégrée des cas';69;'iQzefIV9O5k';1
2;'1.1';'Demande de renseignements personnels';1;'Jc9oNtUSam6';2
3;'1.2';'Auscultation';1;'pyLMFB9Wvo4';3
70;'2';'Diagnostic, traitement et conseil';69;'krXm1H5cghe';5
4;'2.1';'Diagnostic, traitement et conseil, obsv. 1';70;'moNmpWCdMDg';6
5;'2.2';'Diagnostic, traitement et conseil, obsv. 2';70;'VYzgucNfIv1';7
6;'2.3';'Diagnostic, traitement et conseil, obsv. 3';70;'g8mK69xIl4q';8
7;'1.3';'Traitement et diagnostic rapide';1;'IbgKYOVaL7c';4
8;'3';'Environnement professionnel';69;'XbOXlOdGRAF';9
9;'3.1';'Lieu de travail';8;'WywvA1IH0az';10
10;'3.2';'Matériel, fournitures et produits';8;'PckOq97GGYT';11
11;'3.3';'Documentation et communication de l''information';8;'le9XQ2oR6um';12
