1;'Intro';'Introduction';1;1
2;'Inq';'Inquiry';2;1
3;'Phy Ex';'Physical Examination';3;1
4;'Diag1';'Diagnosis 1';1;2
5;'Diag2';'Diagnosis 2';2;2
6;'Diag3';'Diagnosis 3';3;2
8;'Workplace';'Workplace';1;4
9;'Equip, Sup, Cons';'Equipment, Supplies and Consumables';2;4
10;'Doc & Rept';'Document and Reporting';3;4
11;'Intro';'Introduction';1;6
12;'Inq';'Inquiry';2;6
13;'Phys Exam';'Physical Examination';3;6
14;'Dx and Tx';'Diagnosis and Treatment';4;6
15;'Counseling';'Counseling';5;6
59;'RDT';'RDT Procedure';4;1
