1;'NG HNQIS ICM.IPE-100';'NG HNQIS ICM.IPE-100-Intro-Provider obtains personal history (incl name, age, address, education, occupation)';;'Provider obtains personal history (incl name, age, address, education, occupation)';'<ul><li><strong>Name:</strong> identification/record keeping.</li><li><strong>Age: </strong>determine drug doses, nutritional status, and growth evaluation.</li><li><strong>Address:</strong> determine if high risk area for certain diseases (e.g. Malaria).</li><li><strong>Education level:</strong> communicate according to patient/parent education level.</li><li><strong>Occupation:</strong> availability of someone to provide day/night home care.</li></ul>';'ZX6aYrcAju8';100;0.00;0.00;1;53;;81
2;'NG HNQIS ICM.IPE-110';'NG HNQIS ICM.IPE-110-Intro-Provider asks reason for visiting health facility';;'Provider asks reason for visiting health facility';'<p><strong>Determine patient complaints</strong></p><ul><li>Initial visit or follow-up.</li><li>Initial visit: assess, classify and identify treatment.</li><li>Follow-up visit: assess and advise to complete medication, change medication or refer.</li></ul>';'XMZQ0DVJp4l';110;0.00;0.00;1;53;;81
3;'NG HNQIS ICM.IPE-120';'NG HNQIS ICM.IPE-120-Intro-Provider checks immunization status';;'Provider checks immunization status';'<p><strong>Determine immunization status, provide immunization if necessary</strong></p><ul><li>Immunization offers protection to the child against common potentially life-threatening childhood illnesses.</li><li>Do not miss any opportunity to immunize a child.</li></ul>';'bzpftbqnIFx';120;0.00;0.00;1;53;;81
4;'NG HNQIS ICM.IPE-130';'NG HNQIS ICM.IPE-130-Inq-Provider asks whether there are lethargy, convulsions/convulsing now';;'Provider asks whether there are lethargy, convulsions/convulsing now';'<ul><li>Convulsions and lethargy are danger signs. A child currently convulsing will require diazepam immediately.</li><li>Complete the rest of the assessment quickly, give any pre-referral treatment urgently and refer without delay.</li></ul>';'dCxDDSd36Jt';130;0.10;0.10;2;53;;82
5;'NG HNQIS ICM.IPE-140';'NG HNQIS ICM.IPE-140-Inq-Provider asks if the patient can drink or breastfeed.';;'Provider asks if the patient can drink or breastfeed.';'<ul><li>Confirm child''s ability to drink or breastfeed by direct observation.</li><li>Inability to drink or breast feed is a danger sign and requires immediate attention.</li><li>Clear any nasal secretions that might be causing difficulty suckling.</li><li>If still unable to breastfeed or drink, complete the rest of the assessment, give any pre-referral treatments needed and refer immediately.</li></ul>';'F0JLGK4cLsw';140;0.10;0.10;2;53;;82
6;'NG HNQIS ICM.IPE-150';'NG HNQIS ICM.IPE-150-Inq-Provider asks if there is vomiting.';;'Provider asks if there is vomiting.';'<ul><li>Vomiting everything is a danger sign.</li><li>If unable to retain food, fluids or oral drugs, complete the rest of the assessment quickly, give any pre-referral treatment needed and refer urgently.</li><li>&If vomiting but retaining some food/fluid, plan to give fluids and medication and observe if the child retains before allowing them to go home.</li></ul>';'SUln2Ks2pjQ';150;0.10;0.10;2;53;;82
7;'NG HNQIS ICM.IPE-160';'NG HNQIS ICM.IPE-160-Inq-Provider asks about frequency & Duration of cough.';;'Provider asks about frequency & Duration of cough.';'<p><strong>Ask if the child is coughing</strong><br/>Cough with or without difficulty breathing is the main presenting symptom of pneumonia. Assess the respiratory system of a child with cough. Determine if pneumonia, common cold, asthma, tuberculosis or other respiratory problem.<br/><strong>Ask about duration of cough</strong><br/>A child with a cough more than 14 days (chronic cough) needs screening for tuberculosis.<br/><strong>Ask about frequency of cough</strong><br/>A child with asthma may cough mainly at night, when exposed to cold, dust, smoke or exercise; but in pneumonia, the cough may not have a particular pattern.</p>';'OLC5KKnsc31';160;0.10;0.10;2;53;;82
8;'NG HNQIS ICM.IPE-170';'NG HNQIS ICM.IPE-170-Inq-Provider asks if there is difficulty in breathing, fast breathing, wheezing .';;'Provider asks if there is difficulty in breathing, fast breathing, wheezing .';'<p><strong>Ask for difficulty breathing:</strong> Difficult breathing with or without cough is the main presenting symptom of pneumonia.<br /><strong>Ask if there if fast breathing:</strong> Fast breathing is one of the signs needed to classify pneumonia.<br /><strong>Ask if the child is wheezing:</strong> The commonest cause of wheezing is asthma</p>';'DeT5KZXqvdq';170;0.10;0.10;2;53;;82
9;'NG HNQIS ICM.IPE-180';'NG HNQIS ICM.IPE-180-Inq-Provider asks whether mother or other family or community members have cough';;'Provider asks whether mother or other family or community members have cough';'<p>Screen the child for TB if there has been contact with a person with confirmed active pulmonary TB or person with chronic cough, even when cough is not the primary presenting problem in the child.</p>';'YdVDxsii0pN';180;0.10;0.10;2;53;;82
10;'NG HNQIS ICM.IPE-190';'NG HNQIS ICM.IPE-190-Inq-Provider asks about diarrhoea';;'Provider asks about diarrhoea';'<p><strong>Diarrhoea is presence of 3 or more loose or watery stools in a 24-hour period.</strong></p><ul><li>Assess child for dehydration.</li></ul><p><strong>Diarrhoea present for more than 14 days is persistent diarrhoea.</strong></p><ul><li>Children with persistent diarrhoea are at risk of malnutrition.</li><li>Assess feeding history.</li></ul>';'zk5eJ6qYE5k';190;0.10;0.10;2;53;;82
11;'NG HNQIS ICM.IPE-200';'NG HNQIS ICM.IPE-200-Inq-Provider asks whether the stool contains blood or mucus.';;'Provider asks whether the stool contains blood or mucus.';'<p><strong>Blood in stool with or without mucus is a sign of dysentery.</strong></p><ul><li>A child with dysentery will require an antibiotic in addition to fluids and zinc.</li></ul>';'x3oiH0zunsK';200;0.10;0.10;2;53;;82
12;'NG HNQIS ICM.IPE-210';'NG HNQIS ICM.IPE-210-Inq-Provider asks about fever – is there a pattern, duration, associated chills and/or rigors';;'Provider asks about fever – is there a pattern, duration, associated chills and/or rigors';'<p><strong>Fever may be a sign of malaria.</strong></p><ul><li>Determine malaria risk.</li></ul><p><strong>Pattern of fever:</strong> Periodic fevers occurring every 48-72 hours may occur in malaria depending on the species, but may not always occur in falciparum malaria. In typhoid fever, the fever rises in a step-wise manner.</p><p><strong>Duration of fever:</strong> If fever has been present more than 7 days, ask if the fever has been present everyday. A child with fever more than 7 days may have a s<strong>evere illness such as typhoid fever.</strong></p><p><strong>Are there associated chills and/or rigors: </strong>The classic pattern of malaria begins with a period of chills/rigors which last for about 1-2 hours then followed by fever.</p><p>If history of fever, ask for symptoms of measles in the last 3 months or if the child has had measles in the last 3 months (generalized rash and cough, runny nose or red eyes).</p>';'yOTgGS5SZ0N';210;0.10;0.10;2;53;;82
13;'NG HNQIS ICM.IPE-220';'NG HNQIS ICM.IPE-220-Inq-Provider ask for HIV positivity in mother or child';;'Provider ask for HIV positivity in mother or child';'<p><strong>Ask for HIV status of mother and child</strong></p><ul><li>Ask the mother if she knows her HIV status.</li><li>If mother is HIV positive, determine the status of the child.</li><li>For a known HIV positive child, plan to treat, counsel and follow up for existing conditions and enroll or refer for enrolment for HIV care as per the protocols of HIV management in children.</li><li>If HIV exposed, offer treatment or refer for treatment as per the protocols for the HIV exposed.</li></ul>';'IRpREm9pUXI';220;0.10;0.10;2;53;;82
14;'NG HNQIS ICM.IPE-230';'NG HNQIS ICM.IPE-230-PE-Provider checks whether the patient is awake. If the patient is not awake, checks for consciousness/lethargy (try to wake)';;'Provider checks whether the patient is awake. If the patient is not awake, checks for consciousness/lethargy (try to wake)';'<p>Try to wake the child. A child unable to be awoken is unconscious. A lethargic child looks weak and is not interested in the surroundings. Unconsciousness or lethargy are danger signs that require urgent attention.</p><ul><li>If the child is brought in convulsing or convulses at the facility, give diazepam.</li><li>Complete the rest of the assessment and any pre-referral treatment immediately, treat to prevent low sugar, keep warm and refer urgently.<br /></li></ul>';'jQsc5eqCf9H';230;0.14;0.14;3;53;;83
15;'NG HNQIS ICM.IPE-240';'NG HNQIS ICM.IPE-240-PE-Provider checks for signs of malnutrition – visible emaciation (marasmus or kwashiorkor), pallor (anemia), oedema. Measure MUAC';;'Provider checks for signs of malnutrition – visible emaciation (marasmus or kwashiorkor), pallor (anemia), oedema. Measure MUAC';'<p>A child may not have specific symptoms that point to malnutrition or anaemia and a care giver may not have noticed the child to be malnourished.</p><ul><li><strong>Check for visible emaciation</strong> which is a sign of marasmus.</li><li><strong>Check for palmar pallor</strong> which is a sign of anaemia. Classify pallor to severe or some pallor.</li><li><strong>Check for oedema</strong> of both feet which is a sign of kwashiorkor. Check for other signs of kwashiorkor which include dry, scaly skin, hair changes, puffy or "moon" face.</li><li><strong>Measure MUAC in a child more than 6 months.</strong> MUAC is a quick and easy way to assess nutritional status even in a very sick child.</li></ul><p>All the above signs are required for classification of acute malnutrition to be able to identify the appropriate treatment</p>';'b3CjCSq9cVk';240;0.14;0.14;3;53;;83
16;'NG HNQIS ICM.IPE-250';'NG HNQIS ICM.IPE-250-PE-Provider weighs the patient. Checks weight on a growth chart.';;'Provider weighs the patient. Checks weight on a growth chart.';'<ul><li>Weigh the child.</li><li>Calculate age of the child in months.</li><li>Find a point on the chart where the line for the child''s age meets the line for the child''s weight:<ul><li>If the point is below the bottom curve, the child is very low weight for age</li><li>If the point is on or above the bottom curve, the child is not very low weight for age</li></ul></li><li>Determine if the growth is faltering by the curve flattening/dropping for at least 2 consecutive months.</li><li>For very low weight children and growth faltering, pay special attention to the feeding and treat any underlying illnesses.</li></ul>';'guryk2hPKxE';250;0.14;0.14;3;53;;83
17;'NG HNQIS ICM.IPE-260';'NG HNQIS ICM.IPE-260-PE-Provider assesses the respiratory system – counts breaths, checks for chest indrawing, stridor, wheezing, listens to breath sounds.';;'Provider assesses the respiratory system – counts breaths, checks for chest indrawing, stridor, wheezing, listens to breath sounds.';'<p><strong>Assess respiratory system</strong></p><ul><li>Fast breathing is a sign of pneumonia. Count the breaths when the child is calm.</li></ul><p><strong>Fast Breathing Rates:</strong></p><ul><li>From birth up to 2 months: 60 breaths per minute or more</li><li>2 months up to 12 months: 50 breaths per minute or more</li><li>12months up to 5 years: 40 breaths per minute or more</li><li>Chest in drawing is a sign of pneumonia. Observe if there is inward movement of the lower chest wall when breathing in.</li><li>Listen to breath sounds, determine if there is stridor or wheezing.</li><li>Stridor occurs during inspiration. Stridor in calm child is sign of severe pneumonia and may also indicate airway obstruction.</li><li>Wheezing occurs during expiration. Wheezing is most commonly caused by asthma.<br /></li></ul>';'INYqS1OvpLp';260;0.14;0.14;3;53;;83
